duration,actor1_fb_likes,actor2_fb_likes,actor3_fb_likes,budget,movie_fb_likes,actor4_fb_likes,director_fb_likes,cast_total_fb_likes,imdb
0.55334,-0.45426,0.36359,0.2052,2.672,1.197,4.2305,4.1775,1.3486,1
-0.32541,0.42311,-0.5613,0.51155,2.672,-0.48382,0.54624,-0.39626,0.046749,0
-0.061787,-0.50744,0.19017,-0.30537,2.1378,-0.488,-0.21895,-0.35028,-0.45261,0
-0.76479,0.024302,1.3463,-0.35643,2.7789,-0.47546,-0.27563,-0.3677,3.8003,0
-0.017849,0.42311,0.30579,-0.25432,2.843,2.6605,-0.077251,-0.3881,-0.13915,1
0.20184,-0.66696,-0.48422,-0.59819,2.7789,-0.29566,5.9309,-0.39082,0.58613,0
-0.80873,-0.77331,-0.69926,-0.22879,2.7789,4.3748,-0.19061,0.015085,-0.58375,1
0.46547,1.8854,0.016758,0.077558,3.3131,0.19354,4.7973,0.64081,2.1845,1
0.81697,1.3537,4.2366,1.6093,2.672,1.657,2.5301,-0.37287,2.1534,1
-0.72086,0.55604,-0.060316,-0.17773,2.8857,3.1622,-0.54515,-0.40089,-0.083037,1
0.7291,-0.40109,-0.48422,1.8646,2.672,1.3225,-0.16227,-0.39354,-0.11813,1
0.64122,1.4866,-0.50349,-0.63291,2.7789,0.90436,-0.40968,-0.43462,-0.056298,1
0.99272,0.55604,0.61408,4.1622,2.672,1.7406,1.1414,-0.42183,1.6847,1
-0.89661,-0.72014,-0.079585,0.56261,2.5652,-0.28312,1.028,-0.43897,0.33705,1
0.7291,0.34335,0.22871,-0.075614,3.0994,0.98798,-0.47685,-0.26704,-0.015984,1
-0.50117,-0.86424,-0.72238,-0.50475,2.5652,1.1552,-0.19061,-0.43707,-0.31147,1
-0.5451,-0.53403,-0.59386,-0.4394,2.5652,1.1134,0.34786,-0.42945,-0.04046,1
0.28972,0.064183,0.4792,-0.65869,2.5652,2.2424,-0.19061,-0.23629,0.061641,0
-0.67692,-0.3878,2.6951,-0.49454,2.5652,0.82073,-0.31729,-0.37803,0.60547,1
